S? TK nh?p_Mã hàng	APP	Gemini	GAP
308508584810_7780520	1	1	0
308508584810_7790164	10	10	0
308508584810_7947035	2	2	0
308508584810_7947038	1	1	0
308508584810_7970235	2	2	0
308508584810_9200538	12	12	0
308508584810_9210346	5	5	0
308508584810_9210377	9	9	0
308508584810_9212177	1	1	0
308508584810_A3000207	1	1	0
308508584810_A3000325	2	2	0
308508615240_U1070058	66	66	0
308508694010_2770435	4	4	0
308508694010_7670256	8	8	0
308508694010_7790116	18	18	0
308508694010_7790164	4	4	0
308508694010_9210208	11	11	0
308508694010_9210308	11	11	0
308508694010_9212108	14	14	0
308508694010_9360579	4	4	0
308508694010_9810308	8	8	0
308508694010_U4380898	3	3	0
308508698430_U6600013	33	33	0
308508698430_U6600014	33	33	0
308508698430_U6600015	3	3	0
308508745810_U1070058	12	12	0
308508745810_U6600013	7	7	0
308508745810_U6600015	25	25	0
308508894650_B916-46	18	18	0
308508894650_B916-58	32	32	0
308508894650_B949-31	10	10	0
308508926850_B916-46	12	12	0
308508926850_B916-58	24	24	0
308508926850_B949-31	18	18	0
308509227520_1940308	1	1	0
308509227520_1960408	5	5	0
308509227520_2430438	6	6	0
308509227520_2510208	2	2	0
308509227520_2770538	2	2	0
308509227520_6190408	1	1	0
308509227520_7670256	12	12	0
308509227520_7790116	12	12	0
308509227520_7790117	1	1	0
308509227520_7970235	2	2	0
308509227520_9210308	13	13	0
308509227520_9210408	1	1	0
308509227520_9212108	2	2	0
308509306620_B814-36	26	26	0
308509306620_B814-96S	9	9	0
308509306620_B814-97S	35	35	0
308509306620_D814-01	110	110	0
308509306620_D814-55B	11	11	0
308509306620_D814-55T	11	11	0
308509306620_T637-107	19	19	0
308509306620_T736-20	4	4	0
308509306620_T736-3	1	1	0
308509308460_B433-36	32	32	0
308509308460_B433-81	26	26	0
308509308460_B433-94	2	2	0
308509330900_B615-31	10	10	0
308509330900_B615-46	17	17	0
308509330900_B615-81W1	4	4	0
308509330900_B615-82	5	5	0
308509330900_B797-31	5	5	0
308509330900_B797-46	5	5	0
308509347110_7670208	2	2	0
308509347110_7670234	4	4	0
308509347110_7670246	16	16	0
308509347110_7790164	4	4	0
308509347110_9210277	16	16	0
308509347110_9210377	1	1	0
308509347110_9210477	20	20	0
308509347110_9212164	12	12	0
308509347110_U4380887	1	1	0
308509347110_U4380898	12	12	0
308509355030_B611-181	1	1	0
308509355030_B611-181W1	3	3	0
308509355030_B611-182W1	9	9	0
308509355030_B611-36	1	1	0
308509355030_B611-99	1	1	0
308509355030_B611-99W1	7	7	0
308509355030_B794-36	10	10	0
308509370910_B611-92W9	8	8	0
308509370910_B794-46	32	32	0
308509370910_B794-54	39	39	0
308509370910_B797-54	4	4	0
308509370910_B797-56	3	3	0
308509370910_B797-57	4	4	0
308509386050_B954-46	12	12	0
308509386050_B954-93	30	30	0
308509386050_B954-94	4	4	0
308509386050_B954-97	30	30	0
308509386050_D954-01	10	10	0
308509386050_D954-35	12	12	0
308509386050_D954-60	12	12	0
308509405430_B954-93	16	16	0
308509405430_B954-93W9	2	2	0
308509405430_B954-97	5	5	0
308509405430_B954-97W1	3	3	0
308509405430_D433-01	478	478	0
308509405430_D622-01	8	8	0
308509422710_B944-36	2	2	0
308509422710_B944-46	1	1	0
308509422710_B954-31	1	1	0
308509422710_B954-36	1	1	0
308509422710_B954-46	9	9	0
308509422710_B954-93	15	15	0
308509422710_D433-01	164	164	0
308509422710_T789-1	5	5	0
308509422710_T789-2	5	5	0
308509422710_T789-4	5	5	0
308509422710_T954-10	6	6	0
308509422710_T954-2	12	12	0
308509422710_T954-8	12	12	0
308509433760_T637-3	100	100	0
308509433760_T637-7	24	24	0
308509460950_A4000703	4	4	0
308509460950_B844-97	9	9	0
308509460950_B985-36	9	9	0
308509460950_B985-50	10	10	0
308509460950_B985-56	8	8	0
308509460950_B985-58	8	8	0
308509460950_B985-97	15	15	0
308509460950_D769-02	12	12	0
308509460950_D985-55B	38	38	0
308509496100_T779-4	70	70	0
308509506120_B794-57	67	67	0
308509506120_B794-92	46	46	0
308509513820_B615-31	14	14	0
308509513820_B797-92	10	10	0
308509529550_B794-92	134	134	0
308509539020_2430438	4	4	0
308509539020_3370644	1	1	0
308509539020_7670256	13	13	0
308509539020_7790116	24	24	0
308509539020_7790164	4	4	0
308509540160_R79525	1	1	0
308509591630_7670246	4	4	0
308509591630_7670256	21	21	0
308509591630_7790116	5	5	0
308509591630_7790164	12	12	0
308509591630_9210308	2	2	0
308509591630_9210408	32	32	0
308509591630_9210446	20	20	0
308509604230_D647-01	10	10	0
308509604230_D824-01	90	90	0
308509644940_D794-02	424	424	0
308509648220_2430438	7	7	0
308509648220_2770538	1	1	0
308509648220_5670413	18	18	0
308509648220_6100457	1	1	0
308509648220_6330625	14	14	0
308509648220_6330689	6	6	0
308509648220_6330725	7	7	0
308509648220_7670246	8	8	0
308509648220_9210477	6	6	0
308509648220_9212164	24	24	0
308509666530_D602-35	2	2	0
308509666530_D642-32	10	10	0
308509666530_D824-55T	40	40	0
308509666530_D824-724	28	28	0
308509674710_D647-60	20	20	0
308509674710_D824-55B	40	40	0
308509684730_T5826-2	30	30	0
308509684730_T5826-22	21	21	0
308509684730_T5829-2	32	32	0
308509684730_T5829-22	58	58	0
308509684730_T929-20	37	37	0
308509687640_D642-224	8	8	0
308509687640_D642-45	74	74	0
308509687640_D736-124	208	208	0
308509700940_D642-09	264	264	0
308509700940_D642-45	54	54	0
308509708200_D642-32	5	5	0
308509708200_D642-45	32	32	0
308509708200_D769-01	62	62	0
308509718660_D769-01	520	520	0
308509720060_D642-32	43	43	0
308509720060_D769-01	340	340	0
308509776760_T929-20	153	153	0
308509776760_T929-3	170	170	0
308509824400_B814-96S	3	3	0
308509824400_B814-97S	8	8	0
308509824400_D814-01	20	20	0
308509824400_D814-55B	9	9	0
308509824400_D814-55T	9	9	0
308509824400_T637-3	118	118	0
308509824400_T994-7	58	58	0
308509827860_A4000021	15	15	0
308509827860_A4000231	4	4	0
308509827860_A4000286	20	20	0
308509827860_A4000589	10	10	0
308509827860_B280-671	13	13	0
308509827860_B280-672	18	18	0
308509827860_B280-681	47	47	0
308509827860_D546-224	16	16	0
308509827860_T383-13	24	24	0
308509827860_T393-13	33	33	0
308509827860_T410-13	20	20	0
308509827860_T623-6	51	51	0
308509827860_T623-8	28	28	0
308509827860_T632-8	2	2	0
308509908840_R58560	4	4	0
308509908840_R58561	8	8	0
308509931130_R56553	10	10	0
308509931130_R56554	5	5	0
308509931130_R56558	10	10	0
308509931130_R56559	30	30	0
308510116410_2820188	3	3	0
308510116410_4060535	2	2	0
308510116410_4340327	31	31	0
308510116410_5390218	14	14	0
308510116410_5950523	1	1	0
308510116410_7887035	2	2	0
308510116410_U1143694	9	9	0
308510116410_U6260658	5	5	0
308510160620_T686-7	48	48	0
308510160620_T686-9	35	35	0
308510160620_T814-1	33	33	0
308510160620_T814-3	13	13	0
308510160620_T814-4	80	80	0
308510160620_T814-5	7	7	0
308510445960_B689-56	100	100	0
308510445960_B689-58	70	70	0
308510473410_B689-58	100	100	0
308510473410_B771-194	1	1	0
308510473410_B771-197	81	81	0
308510473410_B771-56S	9	9	0
308510473410_B771-94	1	1	0
308510480630_B779-76	54	54	0
308510480630_B923-56	23	23	0
308510480630_D922-45B	6	6	0
308510480630_D923-45B	2	2	0
308510506310_B785-31	20	20	0
308510506310_B785-48	12	12	0
308510506310_B785-82	13	13	0
308510506310_B863-31	1	1	0
308510506310_B863-36	1	1	0
308510506310_B863-54S	2	2	0
308510506310_B863-56S	3	3	0
308510506310_B863-57	3	3	0
308510506310_B863-58	3	3	0
308510506310_B863-97	5	5	0
308510506310_T513-1	8	8	0
308510506310_T5499-0	11	11	0
308510506310_T5499-4	5	5	0
308510506310_T5499-6	20	20	0
308510506310_T5823-22	3	3	0
308510506310_T5823-6	2	2	0
308510506310_T669-3	2	2	0
308510506310_T729-2	16	16	0
308510506310_T729-7	5	5	0
308510571410_B697-94	1	1	0
308510571410_D922-45B	30	30	0
308510571410_D922-45T	50	50	0
308510571410_D922-60	16	16	0
308510571410_D923-60	5	5	0
308510728650_B602-36	20	20	0
308510728650_B602-46	20	20	0
308510728650_B602-93	116	116	0
308510728650_B602-97S	8	8	0
308510920450_2110464084	2	2	0
308510920450_2110464088	2	2	0
308510920450_2110516030	1	1	0
308510920450_2430366030	2	2	0
308510920450_3330167021	1	1	0
308510920450_3330167281	1	1	0
308510920450_3330167351	2	2	0
308510920450_403X667040	2	2	0
308510920450_6140566030	1	1	0
308510920450_7262016030	1	1	0
308510920450_7262034130	2	2	0
308510920450_7262066030	2	2	0
308510920450_7262067130	1	1	0
308510920450_9210364030	1	1	0
308510920450_A1000918	1	1	0
308510920450_A1000953	2	2	0
308510920450_B2617-257	3	3	0
308510920450_EA4957-4X2	2	2	0
308510920450_EB1811-245	13	13	0
308510920450_EB1811-291	9	9	0
308510920450_EB1864-113	12	12	0
308510920450_EB1865-245	7	7	0
308510920450_EB1865-291	8	8	0
308510920450_EB2270-163	9	9	0
308510920450_EB2270-165	4	4	0
308510920450_EB3392-245	21	21	0
308510920450_EB3392-291	11	11	0
308510920450_EB3660-113	4	4	0
308510920450_EB3660-157	11	11	0
308510920450_EB3660-245	9	9	0
308510920450_EB3660-291	16	16	0
308510920450_EB4121-112	2	2	0
308510920450_EB4121-113	4	4	0
308510920450_EB4121-156	3	3	0
308510920450_EB4121-157	4	4	0
308510920450_EB4121-245	7	7	0
308510920450_EB4121-291	7	7	0
308510920450_EB9630-257	2	2	0
308510920450_M20231W2	45	45	0
308510920450_M20311US	6	6	0
308510920450_M20321US	12	12	0
308510920450_M20331W2	57	57	0
308510920450_M20341US	7	7	0
308510920450_M30131W2	1	1	0
308510920450_M31331W2	8	8	0
308510920450_M31341W2	8	8	0
308510920450_M31431W2	10	10	0
308510920450_M31441W2	6	6	0
308510920450_M33041W2	2	2	0
308510920450_M41031W2	18	18	0
308510954530_2430338	4	4	0
308510954530_5590235	15	15	0
308510954530_7670256	16	16	0
308510954530_7790164	4	4	0
308510954530_9210264	12	12	0
308510954530_9210446	4	4	0
308510954530_9212164	1	1	0
308510954530_9360579	3	3	0
308511003750_5930213	4	4	0
308511003750_6330689	16	16	0
308511003750_6330725	4	4	0
308511003750_7670246	8	8	0
308511003750_7790164	4	4	0
308511003750_9210446	24	24	0
308511003750_9360558	18	18	0
308511003750_U4380887	1	1	0
308511022650_3460427	1	1	0
308511022650_5590235	4	4	0
308511022650_5670415	2	2	0
308511022650_5930213	6	6	0
308511022650_6330625	2	2	0
308511022650_6330689	2	2	0
308511022650_6330789	2	2	0
308511022650_6391012	21	21	0
308511022650_7670256	13	13	0
308511022650_9210364	6	6	0
308511022650_9360531	30	30	0
308511034660_2430438	1	1	0
308511034660_2887038	3	3	0
308511034660_3730738	1	1	0
308511034660_5590235	4	4	0
308511034660_7670256	24	24	0
308511034660_7790116	15	15	0
308511034660_7790164	4	4	0
308511076920_D618-35	32	32	0
308511076920_D631-00	25	25	0
308511076920_D631-01	100	100	0
308511076920_D631-32	18	18	0
308511076920_D631-60	22	22	0
308511082150_D974-00	5	5	0
308511082150_D984-35	7	7	0
308511082150_D984-45	23	23	0
308511110410_D974-01	640	640	0
308511123930_5670413	5	5	0
308511123930_6330625	5	5	0
308511123930_6330689	1	1	0
308511123930_6330725	22	22	0
308511123930_7670246	17	17	0
308511123930_7790164	4	4	0
308511123930_9210446	15	15	0
308511123930_9210477	9	9	0
308511123930_9212164	3	3	0
308511123930_U4380898	18	18	0
308511141650_D974-01	640	640	0
308511155760_R49126	1	1	0
308511182400_D974-00	204	204	0
308511182400_D974-324	198	198	0
308511196250_B742-91	70	70	0
308511196250_B916-46	11	11	0
308511196250_B916-58	10	10	0
308511196250_B949-31	6	6	0
308511196250_B949-36	7	7	0
308511196250_B949-46	1	1	0
308511196250_B949-54	3	3	0
308511196250_B949-57	1	1	0
308511196250_B949-93	5	5	0
308511204060_A3000321	2	2	0
308511204060_T237-13	85	85	0
308511204060_T251-13	87	87	0
308511218210_D773-32	73	73	0
308511218210_D773-60	11	11	0
308511218210_D974-00	60	60	0
308511263560_D615-00	2	2	0
308511263560_D773-124	150	150	0
308511263560_D773-32	20	20	0
308511263560_D974-00	49	49	0
308511336030_B779-31	56	56	0
308511336030_B779-99	56	56	0
308511364030_R77149	5	5	0
308511364030_R82363	20	20	0
308511364030_R82367	10	10	0
308511366350_B779-31	56	56	0
308511366350_B779-99	56	56	0
308511392620_D631-01	40	40	0
308511392620_D631-09	29	29	0
308511392620_D735-02	12	12	0
308511392620_D735-76	16	16	0
308511392620_D743-60	29	29	0
308511392620_D771-01	60	60	0
308511397410_D795-01	20	20	0
308511400910_B697-176	24	24	0
308511400910_B697-177	11	11	0
308511400910_B697-197W1	2	2	0
308511400910_B697-36	30	30	0
308511400910_B697-54	10	10	0
308511400910_B697-56	10	10	0
308511400910_B697-57	13	13	0
308511400910_B697-58	2	2	0
308511400910_B697-97	16	16	0
308511400910_B922-31	20	20	0
308511431600_D923-01	336	336	0
308511476360_R76521	1	1	0
308511654530_3940246	20	20	0
308511654530_7670216	21	21	0
308511654530_7670256	9	9	0
308511654530_7670277	8	8	0
308511654530_9210364	2	2	0
308511654530_U4380887	2	2	0
308511666430_5590238	12	12	0
308511666430_9360579	1	1	0
308511666430_9360597	13	13	0
308511666430_9810366	16	16	0
308511677410_2430535	2	2	0
308511677410_5590235	2	2	0
308511677410_5670415	4	4	0
308511677410_6330689	3	3	0
308511677410_6330789	5	5	0
308511677410_6391012	3	3	0
308511677410_7670216	6	6	0
308511677410_7670256	17	17	0
308511677410_9210364	6	6	0
308511677410_U4380887	11	11	0
308511689200_3940246	8	8	0
308511689200_5590238	4	4	0
308511689200_7670216	13	13	0
308511689200_7670277	22	22	0
308511689200_9810366	8	8	0
308511700250_2610617	1	1	0
308511700250_2610717	11	11	0
308511700250_2610735	1	1	0
308511700250_2820188	1	1	0
308511700250_2820286	19	19	0
308511700250_4340257	8	8	0
308511700250_4340327	8	8	0
308511700250_4340357	25	25	0
308511700250_5560425	4	4	0
308511700250_7887035	2	2	0
308511700250_U1033058	4	4	0
308511700250_U1143694	1	1	0
308511700250_U1200057	5	5	0
308511700250_U5953015	1	1	0
308511700250_U5953018	1	1	0
308511700250_U6260613	6	6	0
308511700250_U6260662	5	5	0
308511702460_5670413	1	1	0
308511702460_5670415	8	8	0
308511702460_5930213	10	10	0
308511702460_6330689	25	25	0
308511702460_6330725	7	7	0
308511702460_6390912	1	1	0
308511702460_7790164	4	4	0
308511702460_9210264	4	4	0
308511702460_9210277	1	1	0
308511702460_9210446	8	8	0
308511702460_9210477	1	1	0
308511702460_9360531	2	2	0
308511702460_U4380887	1	1	0
308511708910_5590238	13	13	0
308511708910_5590338	5	5	0
308511708910_9810366	9	9	0
308511708910_9810466	10	10	0
308511708910_9810566	1	1	0
308511718450_3940246	2	2	0
308511718450_5670415	1	1	0
308511718450_6100457	1	1	0
308511718450_6391012	8	8	0
308511718450_6420213	6	6	0
308511718450_7670216	20	20	0
308511718450_7670277	9	9	0
308511718450_9200520	2	2	0
308511718450_9210446	1	1	0
308511718450_9360531	16	16	0
308511718450_9810308	1	1	0
308511718450_U4380887	11	11	0
308511719150_1000699	24	24	0
308511727700_1790212	19	19	0
308511727700_2610617	1	1	0
308511727700_2610735	17	17	0
308511727700_4060538	1	1	0
308511727700_4340357	12	12	0
308511727700_5950523	2	2	0
308511727700_5950535	6	6	0
308511727700_6310120	2	2	0
308511727700_7887020	5	5	0
308511727700_7887035	3	3	0
308511727700_U1200057	10	10	0
308511727700_U6260657	6	6	0
308511727700_U6260757	11	11	0
308511822530_3940246	18	18	0
308511822530_7790164	45	45	0
308511822530_9200520	8	8	0
308511822530_U1033097	5	5	0
308511828350_3940246	20	20	0
308511828350_5590238	2	2	0
308511828350_5590338	1	1	0
308511828350_7970238	13	13	0
308511828350_9360597	9	9	0
308511828350_9810366	4	4	0
308511828350_9810566	1	1	0
308511828350_U1033097	3	3	0
308511830340_2770525	11	11	0
308511830340_5210725	6	6	0
308511830340_5300525	16	16	0
308511830340_5330625	5	5	0
308511830340_6330625	1	1	0
308511830340_7790164	40	40	0
308511831630_2430335	5	5	0
308511831630_7670216	12	12	0
308511831630_7670277	13	13	0
308511831630_7790164	8	8	0
308511831630_9200535	19	19	0
308511833030_7790164	63	63	0
308511833140_7970238	14	14	0
308511833140_9810367	23	23	0
308511833140_9810467	5	5	0
308511842720_3940246	32	32	0
308511842720_7970238	25	25	0
308511842830_3460489	19	19	0
308511842830_5260525	27	27	0
308511842830_5300525	11	11	0
308511842830_5330625	7	7	0
308511842830_5930113	7	7	0
308511842830_6390912	8	8	0
308511842830_9360531	20	20	0
308511843160_7670234	9	9	0
308511843160_7790164	50	50	0
308511843160_7790165	5	5	0
308511845630_2410123	5	5	0
308511845630_7670234	7	7	0
308511845630_7790164	24	24	0
308511845630_7790165	24	24	0
308511846000_3460489	14	14	0
308511846000_6330694	17	17	0
308511846000_9360531	32	32	0
308511846000_9370412	36	36	0
308511846220_2430539	10	10	0
308511846220_7970238	23	23	0
308511846220_9810334	6	6	0
308511846220_9810434	2	2	0
308511846220_9810567	1	1	0
308511846330_3460489	8	8	0
308511846330_3940246	5	5	0
308511846330_5020534	4	4	0
308511846330_5670418	5	5	0
308511846330_6330694	7	7	0
308511846330_7790164	11	11	0
308511846330_7790165	4	4	0
308511846330_7947020	3	3	0
308511846330_7970238	4	4	0
308511846330_9810334	1	1	0
308511846330_9810467	3	3	0
308511846660_3940246	12	12	0
308511846660_7670234	19	19	0
308511846660_7790164	15	15	0
308511846660_7790165	20	20	0
308511847510_2410123	1	1	0
308511847510_5020534	16	16	0
308511847510_7670234	6	6	0
308511847510_7790164	20	20	0
308511847510_7790165	19	19	0
308511847730_2820286	9	9	0
308511847730_2920325	8	8	0
308511847730_2920425	7	7	0
308511847730_5560325	8	8	0
308511847730_5560425	1	1	0
308511847730_9050313	31	31	0
308511847730_9970525	3	3	0
308511847730_U1033058	25	25	0
308511847730_U1143688	1	1	0
308511847730_U1200062	1	1	0
308511937550_P801-835	98	98	0
308511937550_P805-702	17	17	0
308511939210_2920339	2	2	0
308511939210_3460489	21	21	0
308511939210_5930118	4	4	0
308511939210_5930218	1	1	0
308511939210_5950439	2	2	0
308511939210_6100446	25	25	0
308511939210_6330794	7	7	0
308511961240_5020534	1	1	0
308511961240_5020634	24	24	0
308511961240_7790164	20	20	0
308511961240_7790165	18	18	0
308511973250_P801-835	98	98	0
308511973250_P805-702	17	17	0
308512027960_P801-838	68	68	0
308512027960_P805-702	6	6	0
308512065800_R07124	4	4	0
308512065800_R61320	8	8	0
308512065800_R61339	1	1	0
308512065800_R61340	1	1	0
308512065800_R61341	4	4	0
308512065800_R73721	2	2	0
308512077330_P801-838	68	68	0
308512077330_P805-702	6	6	0
308512169140_P801-838	68	68	0
308512169140_P805-702	6	6	0
308512181740_5020534	6	6	0
308512181740_5020634	9	9	0
308512181740_7790164	22	22	0
308512181740_7790165	16	16	0
308512181740_7947020	22	22	0
308512223630_T471-1	153	153	0
308512223630_T471-2	163	163	0
308512305050_9022042A	107	107	0
308512361900_1790212	7	7	0
308512361900_2610617	2	2	0
308512361900_2610717	1	1	0
308512361900_2610735	4	4	0
308512361900_2820286	8	8	0
308512361900_4060535	1	1	0
308512361900_4340357	8	8	0
308512361900_5950535	1	1	0
308512361900_6310120	1	1	0
308512361900_7887035	12	12	0
308512361900_9050313	17	17	0
308512361900_9360562	13	13	0
308512361900_U1200057	1	1	0
308512361900_U1200062	1	1	0
308512361900_U1200157	9	9	0
308512492430_P801-838	68	68	0
308512492430_P805-702	6	6	0
308512517150_5020534	24	24	0
308512517150_7790164	16	16	0
308512517150_7790165	24	24	0
308512569430_P604-701	7	7	0
308512569430_P604-838	8	8	0
308512569430_P801-820	35	35	0
308512569430_P801-835	4	4	0
308512569430_P801-838	3	3	0
308512569430_P805-701	118	118	0
308512569430_P805-702	206	206	0
308512653210_5020634	6	6	0
308512653210_6590679	21	21	0
308512653210_6590697	12	12	0
308512653210_6590779	18	18	0
308512836830_7670216	21	21	0
308512836830_7670256	1	1	0
308512836830_7670277	46	46	0
308512836830_9200520	2	2	0
308513056410_B794-36	15	15	0
308513056410_B797-97	3	3	0
308513069340_B916-36	21	21	0
308513069340_B916-94	12	12	0
308513097820_B615-31	14	14	0
308513097820_B794-31	17	17	0
308513097820_B797-31	11	11	0
308513097820_B797-46	2	2	0
308513097820_B797-54	1	1	0
308513097820_B797-56	4	4	0
308513097820_B797-58	2	2	0
308513227910_B433-36	34	34	0
308513259850_B615-82	9	9	0
308513259850_B794-31	38	38	0
308513393920_1790212	5	5	0
308513393920_1790312	5	5	0
308513393920_2820286	2	2	0
308513393920_4340216	19	19	0
308513393920_4340316	19	19	0
308513393920_5240418	1	1	0
308513393920_5950538	5	5	0
308513393920_9360562	1	1	0
308513393920_U1200157	11	11	0
308513393920_U6260647	1	1	0
308513715660_1790312	8	8	0
308513715660_2610638	8	8	0
308513715660_4340316	40	40	0
308513900500_5020646	12	12	0
308513900500_6590697	1	1	0
308513900500_6590797	15	15	0
308513900500_7670277	8	8	0
308513900500_7790165	15	15	0
308513900500_9210364	18	18	0
308513922420_5020634	10	10	0
308513922420_5020646	12	12	0
308513922420_7670277	18	18	0
308513922420_7790164	12	12	0
308513922420_7790165	12	12	0
308513922420_9210364	6	6	0
308513991130_5390213	15	15	0
308513991130_5390218	10	10	0
308513991130_5400213	1	1	0
308513991130_9050315	2	2	0
308513991130_U1210115	17	17	0
308513991130_U6260647	13	13	0
308514025540_3940246	1	1	0
308514025540_5020646	2	2	0
308514025540_5260525	1	1	0
308514025540_5670415	4	4	0
308514025540_5670418	2	2	0
308514025540_5930218	12	12	0
308514025540_6100446	6	6	0
308514025540_6330694	7	7	0
308514025540_7670256	2	2	0
308514025540_7670277	6	6	0
308514025540_7790165	8	8	0
308514025540_7970238	1	1	0
308514025540_9140589	3	3	0
308514025540_9200535	1	1	0
308514025540_9210364	8	8	0
308514025540_9360579	1	1	0
308514025540_9810367	1	1	0
308514232040_1790312	8	8	0
308514232040_4340217	34	34	0
308514232040_4340316	4	4	0
308514232040_4340317	10	10	0
308514232040_5080535	2	2	0
308514232040_7857020	1	1	0
308514232040_U1230057	13	13	0
308514280820_5670418	6	6	0
308514280820_5930118	4	4	0
308514280820_5930218	5	5	0
308514280820_6100331	16	16	0
308514280820_6100358	9	9	0
308514280820_6100431	5	5	0
308514280820_6330694	6	6	0
308514280820_9140589	25	25	0
308514294010_6100346	2	2	0
308514294010_7670217	17	17	0
308514294010_7670277	29	29	0
308514294010_7790165	6	6	0
308514294010_9210464	22	22	0
308514304730_5020646	2	2	0
308514304730_6100346	6	6	0
308514304730_7670217	16	16	0
308514304730_7670277	18	18	0
308514304730_7790165	9	9	0
308514304730_9210364	4	4	0
308514304730_9210464	14	14	0
308514312800_1030125	18	18	0
308514312800_5670415	8	8	0
308514312800_5670418	8	8	0
308514312800_6100331	4	4	0
308514312800_6100358	6	6	0
308514312800_6100431	20	20	0
308514312800_6330694	2	2	0
308514312800_6330794	8	8	0
308514312800_9140589	4	4	0
308514323150_5670415	13	13	0
308514323150_5670418	7	7	0
308514323150_5930118	10	10	0
308514323150_6100331	16	16	0
308514323150_9140589	15	15	0
308514333760_2610638	1	1	0
308514333760_2610738	14	14	0
308514333760_4340317	38	38	0
308514333760_7887038	2	2	0
308514341610_5390213	2	2	0
308514341610_5400247	1	1	0
308514341610_9050315	22	22	0
308514341610_U1210115	21	21	0
308514341610_U6260647	4	4	0
308514347430_2430566	1	1	0
308514347430_3090108	14	14	0
308514347430_3730735	1	1	0
308514347430_5910615	4	4	0
308514347430_7670217	24	24	0
308514347430_7670277	24	24	0
308514347430_9270505	1	1	0
308514439240_5020646	5	5	0
308514439240_5670415	9	9	0
308514439240_5670418	19	19	0
308514439240_6330694	1	1	0
308514439240_9140589	26	26	0
308514442260_3090177	18	18	0
308514442260_7790164	28	28	0
308514442260_9810316	12	12	0
308514442260_9810416	2	2	0
308514443220_5910615	17	17	0
308514443220_7670217	15	15	0
308514443220_7670277	3	3	0
308514443220_9210464	1	1	0
308514443220_9212165	22	22	0
308514448010_3090146	12	12	0
308514448010_3090164	11	11	0
308514448010_3090177	5	5	0
308514448010_7790164	48	48	0
308514448120_5670418	12	12	0
308514448120_5930118	4	4	0
308514448120_6100413	15	15	0
308514448120_8150538	13	13	0
308514448120_9140589	12	12	0
308514448600_3090146	6	6	0
308514448600_3090177	6	6	0
308514448600_5910615	8	8	0
308514448600_7310920	5	5	0
308514448600_7670217	16	16	0
308514448600_7670277	2	2	0
308514448600_7970238	1	1	0
308514448600_8150538	1	1	0
308514448600_9210464	7	7	0
308514448600_9810316	2	2	0
308514448600_9810416	2	2	0
308514448930_3940277	23	23	0
308514448930_7670217	15	15	0
308514448930_7790164	24	24	0
308514449150_9050315	13	13	0
308514449150_U1070162	8	8	0
308514449150_U1200013	1	1	0
308514449150_U1200058	21	21	0
308514449150_U1200113	17	17	0
308514449150_U1210115	13	13	0
308514449410_3940277	18	18	0
308514449410_7407035	14	14	0
308514449410_7790164	3	3	0
308514449410_9810317	15	15	0
308514449410_9810417	7	7	0
308514449410_9810517	4	4	0
308514449740_3090146	45	45	0
308514449740_3090177	1	1	0
308514449740_7310938	2	2	0
308514449740_7790164	7	7	0
308514449740_8150538	10	10	0
308514459100_3940277	30	30	0
308514459100_7310938	8	8	0
308514459100_7790164	28	28	0
308514459800_5020508	16	16	0
308514459800_5020608	13	13	0
308514459800_5670418	22	22	0
308514459800_7790164	4	4	0
308514459800_9140589	2	2	0
308514459800_9140689	21	21	0
308514461860_3090165	11	11	0
308514461860_3090246	2	2	0
308514461860_3940277	36	36	0
308514461860_4340308	4	4	0
308514461860_7407035	7	7	0
308514461860_7670217	5	5	0
308514461860_7790164	2	2	0
308514464440_2430308	1	1	0
308514464440_2430508	1	1	0
308514464440_4340208	26	26	0
308514464440_4340308	44	44	0
308514464440_7310938	2	2	0
308514464440_7407035	1	1	0
308514464440_7407038	12	12	0
308514464440_9140689	6	6	0
308514464440_9230535	5	5	0
308514466430_1790312	1	1	0
308514466430_4340317	14	14	0
308514466430_7857020	2	2	0
308514466430_7887038	11	11	0
308514466430_8721416	1	1	0
308514466430_U1200113	1	1	0
308514466430_U1210115	9	9	0
308514466430_U1230057	8	8	0
308514466430_U1230060	3	3	0
308514512300_3940216	12	12	0
308514512300_3940217	4	4	0
308514512300_3940277	1	1	0
308514512300_5710223	7	7	0
308514512300_7361064	1	1	0
308514512300_7361164	3	3	0
308514512300_7361165	6	6	0
308514512300_7407020	9	9	0
308514512300_7407038	2	2	0
308514512300_7670277	2	2	0
308514512300_7741064	4	4	0
308514512300_9212165	7	7	0
308514512300_9810377	10	10	0
308514512300_9810477	3	3	0
308514517530_3090108	1	1	0
308514517530_5670415	5	5	0
308514517530_5670418	12	12	0
308514517530_5930118	12	12	0
308514517530_9140586	21	21	0
308514517530_9140689	6	6	0
308514606210_1850788	8	8	0
308514606210_3940216	20	20	0
308514606210_5670418	15	15	0
308514606210_6330694	1	1	0
308514606210_7407020	6	6	0
308514606210_9210265	15	15	0
308514606210_9210365	2	2	0
308514606210_9212165	1	1	0
308514609120_3810425	1	1	0
308514609120_3940216	12	12	0
308514609120_4630708	5	5	0
308514609120_6100313	6	6	0
308514609120_6100413	1	1	0
308514609120_7407020	1	1	0
308514609120_9210265	1	1	0
308514609120_9210365	19	19	0
308514609120_9210465	17	17	0
308514609120_9810377	12	12	0
308514795650_D922-01	336	336	0
308514807000_B764-31	28	28	0
308514807000_B764-72	41	41	0
308514807000_B764-93	40	40	0
