S? TK nh?p_Mã hàng	APP	Gemini	GAP
308456946510_B433-31	9		9
308460242920_9930642A	9		9
308464083820_B602-54S	9		9
308465270320_T994-7	29	20	9
308470488340_A3000702	70	61	9
308473812420_B602-97S	9		9
308480838760_T743-0	38	29	9
308481794300_6840671	20	11	9
308485015920_P373-615T	20	11	9
308493006750_D947-55B	9		9
308496541050_T664-9	9		9
308497181550_B602-97S	9		9
308499587600_B602-97S	18	9	9
308509460950_B844-54S	30	21	9
106320100500_3700313		8	-8
108129967850_W100-12	69	61	8
108166382000_B752-91	11	3	8
108198406960_B742-50	52	44	8
307841994150_B602-54S		8	-8
307890542910_U1210113		8	-8
307894724120_7970238		8	-8
307910235200_4460438		8	-8
307995521650_A3000644		8	-8
308333769460_T736-107		8	-8
308350421650_B733-31	32	24	8
308407706630_B742-56	32	24	8
308410721750_B742-21	38	30	8
308411112020_B742-87	73	65	8
308426688530_B742-183	8		8
308429932700_A3000053	47	39	8
308432514630_D642-32	38	30	8
308441926830_4070812	11	3	8
308446641220_9210308	20	12	8
308457089200_B794-57	32	24	8
308458695220_9210317	10	2	8
308459032360_1080229	12	4	8
308460895320_B433-81	29	21	8
308460928920_B794-54	29	21	8
308463590650_9210346	8		8
308464889960_D824-724	98	90	8
308465043850_D857-01	36	28	8
308465065330_B100-13	17	9	8
308465270320_B814-58	9	1	8
308466453210_A3000157	12	4	8
308468195400_6100458	8		8
308468877200_6100462	25	17	8
308471109610_B794-97	86	78	8
308472336010_B764-93	26	18	8
308474797650_B779-36	22	14	8
308477772100_3940246	8		8
308479049450_9210465	9	1	8
308479282330_B680-86	50	42	8
308480456230_D396-124	54	46	8
308481173620_A3000323	8		8
308481880950_2590316	8		8
308485096310_5930118	11	3	8
308489384030_9212164	9	1	8
308489999220_D794-50B	35	27	8
308489999220_D794-50T	32	24	8
308504540060_B742-84S	64	56	8
308504589760_B756-56	10	2	8
308510920450_M41131W2		8	-8
308511004600_M41131W2	8		8
107702535730_R407621	30	23	7
107720064210_A2000665	8	1	7
107898599650_R407861	73	66	7
108045966600_A1000962	26	19	7
108080245820_A4000525	49	42	7
108088399050_A2000886	7		7
108088479660_T726-6	148	141	7
108092765100_T667-8	50	43	7
108217654310_L204174	53	46	7
307910235200_8614038		7	-7
307939334420_B606-31		7	-7
308091523040_5910665		7	-7
308373374100_W440-68		7	-7
308373386220_W440-68	7		7
308407839960_T776-1	7		7
308429044400_W287-68		7	-7
308429076710_W287-68	7		7
308429728630_B742-31	7		7
308446006060_B779-46	26	19	7
308446977550_B742-77	40	33	7
308451015410_D974-13	135	128	7
308451448340_B844-46	7		7
308451553450_D922-50T	14	7	7
308453449750_2200315	41	34	7
308459850110_T637-3	7		7
308461004150_B794-182	24	17	7
308461131810_6100431	7		7
308463587520_6391012	7		7
308463594260_9210346	7		7
308465923310_U2710515	7		7
308468393720_D612-60	14	7	7
308469881330_U2710613	23	16	7
308471155440_B794-46	7		7
308474772010_9210464	7		7
308477802420_9210346	7		7
308477934130_B756-91	47	40	7
308478119260_2590366	7		7
308480456230_D396-15	28	21	7
308482413650_2590316	7		7
308483739230_5930147	7		7
308487999100_T712-2	19	12	7
308494175200_EB2270-163		7	-7
308494207400_EB2270-163	7		7
308500833120_A4000325	32	25	7
308503043240_7780435	7		7
308515018840_B602-158	15	8	7
308526728440_7660664		7	-7
308526728440_7790165		7	-7
107886853210_L204194	6		6
107899226850_L100834	6		6
107950374560_A4000672	6		6
108083999660_A4000586	11	5	6
108090935960_A2000790	15	9	6
108090942300_A2000822	26	20	6
108151991360_L177974	12	6	6
108165393600_T152-13	53	47	6
108166382000_B752-82	17	11	6
108198406960_B742-59	30	24	6
108203340930_T821-8	35	29	6
307829833050_9360558		6	-6
308107045910_5430488		6	-6
308242027350_T779-4	14	8	6
308308951700_3130517		6	-6
308402401220_D773-124	138	132	6
308420295540_1700338	6		6
308432270000_B777-31	18	12	6
308434421910_B742-78	52	46	6
308440730200_4070812	6		6
308442570240_5390213	25	19	6
308442731610_D631-45	25	19	6
308444184700_B794-181	10	4	6
308446018700_6100477	15	9	6
308446756460_6100457	7	1	6
308448255640_D736-32	22	16	6
308450652920_T994-20	6		6
308451652410_D954-02A	16	10	6
308452065260_D631-124	122	116	6
308454902250_B680-31	19	13	6
308454997820_B947-97	39	33	6
308456224920_B787-31	16	10	6
308456224920_B787-97	23	17	6
308458601640_9210317	6		6
308458645740_4220425	37	31	6
308460242920_6840655	6		6
308465121660_B814-36	10	4	6
308465270320_B814-56	6		6
308468393720_D612-25	29	23	6
308468876130_5390218	6		6
308471707040_U1033057	19	13	6
308474762910_9210477	9	3	6
308474767700_3940216	26	20	6
308474804910_B779-74	6		6
308474867210_9490361	14	8	6
308475154910_D974-00	321	315	6
308477774310_9210346	6		6
308477795750_9210365	6		6
308477928860_9212165	11	5	6
308478119260_9050315	10	4	6
308478482930_B414-54	10	4	6
308478482930_B414-57	10	4	6
308478598320_T974-1	50	44	6
308479058110_9210377	6		6
308479997250_D394-024	12	6	6
308480456230_D388-124	92	86	6
308482005330_4450425	14	8	6
308484962830_5300425	6		6
308487433610_5430494	17	11	6
308488384210_5430488	17	11	6
308491751910_U1070046A	6		6
308494175200_EB2270-165		6	-6
308494175200_M13641US		6	-6
308494207400_EB2270-165	6		6
308494207400_M13641US	6		6
308494588640_5080538	8	2	6
308495916910_W633-68	15	9	6
308497181550_B602-93	6		6
308497816930_B685-92	237	231	6
308504798140_T743-6	57	51	6
308504847250_B769-92	19	13	6
308509386050_T779-1	6		6
308510920450_M41041US		6	-6
308511004600_M41041US	6		6
308515572800_M41031W2		6	-6
308515572800_M49731W2		6	-6
308515593800_M41031W2	6		6
308515593800_M49731W2	6		6
308524905420_73986RP		6	-6
107006064760_A2000705	28	23	5
107014014220_A2000688	73	68	5
107268893320_T567-1	61	56	5
107597298650_A2000718	116	111	5
107932714040_A2000674	5		5
107998189350_A2000840	37	32	5
108019898010_A2000642	8	3	5
108088423920_A2000849	5		5
108149652330_T689-6	14	9	5
307995521650_4320665		5	-5
308104241820_B947-58		5	-5
308161535860_A1000916		5	-5
308161537960_A1000916	5		5
308170097230_D824-25	19	14	5
308296606500_B5168-46	6	1	5
308302732200_D388-224	16	11	5
308311903600_30651RP	21	16	5
308327608760_A1000918		5	-5
308327615210_A1000918	5		5
308362702560_B742-91	7	2	5
308381021010_B733-58	6	1	5
308399425150_W287-68		5	-5
308399437160_W287-68	5		5
308409000820_2920438	6	1	5
308428119550_D824-376	5		5
308440898860_5080535	6	1	5
308444170440_D736-60	19	14	5
308448240610_W742-68	7	2	5
308448568800_3940211	5		5
308449345650_U1033062	5		5
308455147950_B947-36	17	12	5
308456707660_B779-78	5		5
308456912760_B433-82	16	11	5
308463602220_9370412	11	6	5
308464020930_B974-92	29	24	5
308465270320_B814-96S	7	2	5
308468865520_9210346	5		5
308472545200_B756-57	31	26	5
308472545200_B756-58	24	19	5
308473879140_D631-00	31	26	5
308474032440_D631-60	28	23	5
308474867210_9212161	22	17	5
308476043800_T901-9	35	30	5
308477802530_5430425	23	18	5
308478598320_T731-3	8	3	5
308478896150_2820125	11	6	5
308479035450_U1033058	13	8	5
308479047500_9210316	15	10	5
308479282330_B680-52	5		5
308479282330_B680-53	5		5
308479282330_B680-97	20	15	5
308479862630_U1090213	38	33	5
308483739230_3460443	5		5
308483809820_3460443	5		5
308486453500_A3000207	15	10	5
308487999100_T712-8	22	17	5
308493006750_D947-80	5		5
308493104310_D922-50B	20	15	5
308494175200_EB1864-112		5	-5
308494175200_EB3660-245		5	-5
308494175200_M20231W2		5	-5
308494207400_EB1864-112	5		5
308494207400_EB3660-245	5		5
308494207400_M20231W2	5		5
308494983700_1030125	12	7	5
308497181550_B602-36	5		5
308497847400_T776-3	51	46	5
308498937740_7780414	8	3	5
308500331700_A3000323	22	17	5
