Item,Open_CO_Qty,Total_Open_CO_Qty,Open_CO(%),Acc(%),Item_Status
L206101,8,484630,1.650743866454821e-05,1.011200297133906,Active
M40741US,8,484630,1.650743866454821e-05,1.0112168045725707,Active
T5823-6,8,484630,1.650743866454821e-05,1.0112333120112353,Active
L207534,8,484630,1.650743866454821e-05,1.0112498194499,Active
M30341US,8,484630,1.650743866454821e-05,1.0112663268885647,Active
D822-35,8,484630,1.650743866454821e-05,1.0112828343272293,Active
T756-3,8,484630,1.650743866454821e-05,1.011299341765894,Unavailable
R407852,8,484630,1.650743866454821e-05,1.0113158492045586,Active
R407521,8,484630,1.650743866454821e-05,1.0113323566432233,Active
B2614-36,8,484630,1.650743866454821e-05,1.011348864081888,Active
A1000918,8,484630,1.650743866454821e-05,1.0113653715205526,Active
A1001109,8,484630,1.650743866454821e-05,1.0113818789592173,Active
L206021,8,484630,1.650743866454821e-05,1.011398386397882,Active
B476-36,8,484630,1.650743866454821e-05,1.0114148938365466,Disco
A4000726,8,484630,1.650743866454821e-05,1.0114314012752113,Active
A2000851,8,484630,1.650743866454821e-05,1.011447908713876,Active
A4000724,8,484630,1.650743866454821e-05,1.0114644161525406,Active
B814-91W9,8,484630,1.650743866454821e-05,1.0114809235912052,Active
A2000509,8,484630,1.650743866454821e-05,1.0114974310298699,Active
A2000510,8,484630,1.650743866454821e-05,1.0115139384685345,Unavailable
L235851,7,484630,1.4444008831479685e-05,1.011528382477366,Active
B751-54,7,484630,1.4444008831479685e-05,1.0115428264861974,Disco
R407130,7,484630,1.4444008831479685e-05,1.0115572704950289,Active
A4000665,7,484630,1.4444008831479685e-05,1.0115717145038603,Unavailable
L208474,7,484630,1.4444008831479685e-05,1.0115861585126917,Active
B742-94,7,484630,1.4444008831479685e-05,1.0116006025215232,Active
EB9630-84,7,484630,1.4444008831479685e-05,1.0116150465303546,Active
B441-82,7,484630,1.4444008831479685e-05,1.011629490539186,Active
P510-835,7,484630,1.4444008831479685e-05,1.0116439345480175,New
P510-838,7,484630,1.4444008831479685e-05,1.011658378556849,New
M33141US,7,484630,1.4444008831479685e-05,1.0116728225656804,New
B5705-81,7,484630,1.4444008831479685e-05,1.0116872665745118,Active
M12841US,7,484630,1.4444008831479685e-05,1.0117017105833432,Active
B612-58,7,484630,1.4444008831479685e-05,1.0117161545921747,Unavailable
B618-97,7,484630,1.4444008831479685e-05,1.0117305986010061,Disco
B856-46,7,484630,1.4444008831479685e-05,1.0117450426098376,Active
B857-54W1,7,484630,1.4444008831479685e-05,1.011759486618669,Unavailable
B857-57W1,7,484630,1.4444008831479685e-05,1.0117739306275004,Unavailable
T747-4,7,484630,1.4444008831479685e-05,1.0117883746363319,Disco
B795-93,7,484630,1.4444008831479685e-05,1.0118028186451633,Unavailable
B795-31,7,484630,1.4444008831479685e-05,1.0118172626539947,Unavailable
B612-31,7,484630,1.4444008831479685e-05,1.0118317066628262,Unavailable
B694-31,7,484630,1.4444008831479685e-05,1.0118461506716576,Active
B751-56W1,7,484630,1.4444008831479685e-05,1.011860594680489,Disco
B751-58W1,7,484630,1.4444008831479685e-05,1.0118750386893205,Disco
B751-97W1,7,484630,1.4444008831479685e-05,1.011889482698152,Disco
M20411US,7,484630,1.4444008831479685e-05,1.0119039267069834,Active
M20421US,7,484630,1.4444008831479685e-05,1.0119183707158148,Active
MB5001,7,484630,1.4444008831479685e-05,1.0119328147246462,New
M00403,7,484630,1.4444008831479685e-05,1.0119472587334777,Active
M13831W2,7,484630,1.4444008831479685e-05,1.0119617027423091,Active
B3381-99,7,484630,1.4444008831479685e-05,1.0119761467511406,Active
R407722,7,484630,1.4444008831479685e-05,1.011990590759972,Active
B612-36,7,484630,1.4444008831479685e-05,1.0120050347688034,Unavailable
