Sequence,Item Number,Actual Qty,Unavailable Qty,Status,Warehouse,Location Id,Type,Fifo Date,Expiration Date,Reserved For,Lot Number,Inspection Code,Serial Number,Type1,Put Away Location,Owner Id,Pod Status
0,H615-44,5,0,A,335,A3017DS4,I,46108,1,,,,,STORAGE,,,
0,H615-44,2,0,A,335,A3017PM1,P,46108,1,,,,,STORAGE,,,
0,H615-44,5,0,A,335,A3017RR2,I,46086,1,,,,,STORAGE,,,
0,H615-70,18,0,A,335,A3013GV2,I,46085,1,,,,,STORAGE,,,
0,H615-70,6,0,A,335,A3017MU3,I,46085,1,,,,,STORAGE,,,
0,H615-70,3,0,A,335,A3017RQ1,P,46085,1,,,,,STORAGE,,,
0,H632-01A,4,0,A,335,A3014FE4,I,46091,1,,,,,STORAGE,,,
0,H632-44,4,0,A,335,A3013JX2,I,46050,1,,,,,STORAGE,,,
0,H632-44,4,0,A,335,A3017MB1,P,46050,1,,,,,STORAGE,,,
0,H632-70,12,0,A,335,A3012DK1,P,46030,1,,,,,STORAGE,,,
0,H632-70,9,0,A,335,A3012JX5,I,46091,1,,,,,STORAGE,,,
0,H633-70,1,0,A,335,EX001AA2,Z,45734,1,,,,,STORAGE,,,
0,H664-34,1,0,A,335,A3017HS2,I,46112,1,,,,,STORAGE,,,
0,H675-11,2,0,A,335,A3016DK1,P,46019,1,,,,,STORAGE,,,
0,H675-17,3,0,A,335,A3017HD2,I,46108,1,,,,,STORAGE,,,
0,H675-17,1,0,A,335,A3017HJ1,P,46092,1,,,,,STORAGE,,,
0,H675-44,5,0,A,335,A3017DC1,P,46108,1,,,,,STORAGE,,,
0,H687-01A,1,0,A,335,A3015DK2,X,46106,1,,,,,STORAGE,,,
0,H737-60,12,0,A,335,A3013CK3,I,45969,1,,,,,STORAGE,,,
0,H737-60,8,0,A,335,A3013DJ2,I,45976,1,,,,,STORAGE,,,
0,H737-60,8,0,A,335,A3013DL2,I,45976,1,,,,,STORAGE,,,
0,H737-60,8,0,A,335,A3013DV4,I,45976,1,,,,,STORAGE,,,
0,H737-60,8,0,A,335,A3013FN2,I,45970,1,,,,,STORAGE,,,
0,H737-60,8,0,A,335,A3013FQ3,I,45976,1,,,,,STORAGE,,,
0,H737-60,8,0,A,335,A3013FS2,I,45976,1,,,,,STORAGE,,,
0,H737-60,8,0,A,335,A3013FS3,I,45976,1,,,,,STORAGE,,,
0,H737-60,9,0,A,335,A3013GJ1,P,45976,1,,,,,STORAGE,,,
0,H737-60,12,0,A,335,A3013JE4,I,45976,1,,,,,STORAGE,,,
0,H737-60,8,0,A,335,A3013KA4,I,45976,1,,,,,STORAGE,,,
0,H737-60,8,0,A,335,A3013KK4,I,45976,1,,,,,STORAGE,,,
0,H737-60,8,0,A,335,A3013KV2,I,45970,1,,,,,STORAGE,,,
0,H737-60,8,0,A,335,A3013MA4,I,45970,1,,,,,STORAGE,,,
0,H737-60,8,0,A,335,A3013MB2,I,45976,1,,,,,STORAGE,,,
0,H737-60,8,0,A,335,A3013MK2,I,45970,1,,,,,STORAGE,,,
0,H737-60,4,0,A,335,A3017DG2,I,45976,1,,,,,STORAGE,,,
0,H737-60,4,0,A,335,A3017HM4,I,45976,1,,,,,STORAGE,,,
0,H737-60R,26,0,A,335,A3012KU1,P,46001,1,,,,,STORAGE,,,
0,H737-60R,14,0,A,335,A3015DM3,I,46050,1,,,,,STORAGE,,,
0,H743-134,14,0,A,335,A3012KP3,I,46099,1,,,,,STORAGE,,,
0,H743-134,24,0,A,335,A3013GZ4,I,46112,1,,,,,STORAGE,,,
0,H743-134,24,0,A,335,A3013JG4,I,46099,1,,,,,STORAGE,,,
0,H743-134,2,0,A,335,A3017DC4,Q,45280,1,,,,,STORAGE,,,
0,H743-134,4,0,A,335,A3017MT4,I,46113,1,,,,,STORAGE,,,
0,H743-134,3,0,A,335,S104,S,46113,1,,,,,0013753-00:01,,,
0,H743-34,4,0,A,335,A3017KR1,P,46105,1,,,,,STORAGE,,,
0,H743-34,7,0,A,335,A3017PT3,I,46105,1,,,,,STORAGE,,,
0,H743-34R,14,0,A,335,A3014DA4,I,46113,1,,,,,STORAGE,,,
0,H743-34R,14,0,A,335,A3014GZ4,I,46109,1,,,,,STORAGE,,,
0,H743-34R,7,0,A,335,A3014JM2,I,46109,1,,,,,STORAGE,,,
0,H743-34W9,3,0,A,335,A3017HD1,P,45774,1,,,,,STORAGE,,,
0,H743-70,19,0,A,335,A3011KN1,P,45768,1,,,,,STORAGE,,,
0,H743-70,36,0,A,335,A3011LJ4,I,46108,1,,,,,STORAGE,,,
0,H743-70,9,0,A,335,A3014HX5,I,46099,1,,,,,STORAGE,,,
0,H743-70,9,0,A,335,A3014KD2,I,46099,1,,,,,STORAGE,,,
0,H743-70,2,0,A,335,S103,S,45768,1,,,,,0015482-00:01,,,
0,H755-11,1,0,A,335,A3015NT5,X,45917,1,,,,,STORAGE,,,
0,H769-21,4,0,A,335,A3011KA1,P,45768,1,,,,,STORAGE,,,
0,H769-21,6,0,A,335,A3012ED4,I,46086,1,,,,,STORAGE,,,
0,H769-21,2,0,A,335,A3017PG2,I,46086,1,,,,,STORAGE,,,
0,H769-21,2,0,A,335,A3017RD3,I,46086,1,,,,,STORAGE,,,
0,H769-70,8,0,A,335,A3017HJ2,I,46085,1,,,,,STORAGE,,,
0,H769-70,2,0,A,335,A3017KV1,P,46085,1,,,,,STORAGE,,,
0,H769-70,8,0,A,335,A3017MK2,I,46015,1,,,,,STORAGE,,,
0,L100074,72,0,A,335,A3012FB2,I,46050,1,,,,,STORAGE,,,
0,L100074,4,0,A,335,A3014EM1,P,46036,1,,,,,STORAGE,,,
0,L100664,67,0,A,335,A3013LF1,P,45971,1,,,,,STORAGE,,,
0,L100724,15,0,A,335,A3014DZ1,P,46087,1,,,,,STORAGE,,,
0,L100724,24,0,A,335,A3014EH5,I,46109,1,,,,,STORAGE,,,
0,L100724,24,0,A,335,A3014EV3,I,46109,1,,,,,STORAGE,,,
