ITNBR,HOUSE,MOHTQ,WHSLC,ITCLS,QTSYR,B2Z95S,ITDSC,TIHIUNLD,PICKPUT,ITMCLSID,UNITSWIDE,UNITLAYERS,UNITSDEEP,SCOOPQTY,SKIDSIZE,QTYCR,NBSEAT,CRTWIN,CRTLIN,CRTHIN,PRDWIN,PRDHIN,PRDLIN,ITMWEGHT,ITNBR2,OPEN_PO,SCOOP_Weight(KG),WEIGHT_RANGE,PALLETS,Unit_Weight(KG),UNIT_WEIGHT_RANGE,FWP,PRDWIN2,PRDHIN2,PRDLIN2,Unnamed: 36,Unnamed: 37
485H138RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485H138RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
1200055RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200055RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
W060-58,335,16,FA00,ZEAW,0,4.89,LARGE TV STAND,NO,PALLT,PAL3H,2,8,1,16,5,0,0.0,20.0,70.38,6.0,15.5,25.75,60.25,83.0,W060-58,0,602.370176,O. 1300-1400,1.0,37.648136,D. 30-40,0x2a,0.3937,0.65405,1.5303499999999999,,
8380298RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8380298RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
W192-10,335,0,FA00,ZEAW,0,6.84,EXTRA LARGE TV STAND,NO,PALLT,PAL5H,0,0,0,0,1,0,0.0,34.75,68.0,5.0,16.5,28.25,65.0,70.0,W192-10,9,0.0,A. 0-100,,31.75144,D. 30-40,0x2a,0.4191,0.71755,1.651,,
8400198RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8400198RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
T5169-1,335,1,FA00,ZVTC,0,15.36,RECTANGULAR COCKTAIL TABLE,NO,PALLT,PAL5H,2,4,1,8,1,0,0.0,30.71,54.33,20.2,27.6,17.0,51.2,83.6,T5169-1,0,303.3623296,G. 600-700,1.0,37.9202912,D. 30-40,0x2a,0.70104,0.43179999999999996,1.30048,,
5600135RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5600135RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
6270220351,335,0,FA00,UIRP,0,0.24,COMPLETE IN/OUT BACK,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,6270220351,0,0.0,A. 0-100,,0.6577084,A. 0-10,0x2a,0.0,0.0,0.0,,
120H138RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120H138RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
