Warehouse,Location,Loc_Type,Item,Replen Level,Replen Qty,Uom,Capacity Qty,Pick Put Id,Class Id,Fwd Qty,Current Utilized,Notfwd Qty,Potential Utilized,Pallet Type,Pick Trans Qty,TripQty,CO_Qty,Disabled,STO
335,A3014KS1,P,D824-924,0,22,CN,22,PALLT,PAL5H,2,0.0909,0,0.0909,5 x 5 wood pallet,52,30,1052,Active,2
335,A3017HU1,P,D841-00,0,4,EA,4,PALLT,PAL3H,2,0.5,4,1.5,3.5 X 7  PAL3D,5,1,10,Active,2
335,A3012FC1,P,D841-01,48,24,CN,72,PALLT,PAL5H,54,0.75,168,3.0833,5 x 5 wood pallet,82,154,146,Active,54
335,A3013HN1,P,D841-02A,36,18,CN,54,PALLT,PAL3H,44,0.8148,76,2.2222,3.5 X 5  PAL3H,54,94,128,Active,44
335,A3013CV1,P,D841-45,14,7,EA,21,PALLT,PAL5H,15,0.7143,0,0.7143,5 x 7 ORANGE,22,41,36,Active,15
335,A3013MF1,P,D856-01,56,28,CN,84,PALLT,PAL5H,60,0.7143,476,6.381,5 x 5 wood pallet,924,582,3408,Active,60
335,A3013KZ1,P,D856-35,7,7,EA,14,PALLT,PAL5H,8,0.5714,77,6.0714,5 x 7 ORANGE,204,95,518,Active,8
335,A3013JG1,P,D857-01,48,24,CN,72,PALLT,PAL5H,62,0.8611,240,4.1944,5 x 7 ORANGE,398,176,898,Active,62
335,A3010CU1,P,D857-35,0,6,EA,6,PALLT,PAL5H,2,0.3333,50,8.6667,5 X 8 PURPLE,100,39,130,Active,2
335,A3020JA1,P,D922-01,32,16,CN,48,PALLT,PAL5H,92,1.9167,608,14.5833,5 x 7 ORANGE,518,800,5542,Active,92
335,A3014JP1,P,D922-45B,0,6,EA,6,PALLT,PAL5H,6,1.0,54,10.0,5 x 5 wood pallet,132,85,599,Active,6
335,A3012HL1,P,D922-45T,5,5,EA,10,PALLT,PAL5H,8,0.8,50,5.8,5 x 7 ORANGE,125,81,596,Active,8
335,A3013DK1,P,D922-50B,24,12,EA,36,PALLT,PAL5H,28,0.7778,0,0.7778,5 x 5 wood pallet,89,37,235,Active,28
335,A3011KY1,P,D922-50T,7,7,EA,14,PALLT,PAL5H,10,0.7143,14,1.7143,5 x 7 ORANGE,71,36,238,Active,10
335,A3012CQ1,P,D923-01,32,16,CN,48,PALLT,PAL5H,38,0.7917,456,10.2917,5 x 7 ORANGE,112,276,1486,Active,38
335,A3013HB1,P,D923-45B,8,4,EA,12,PALLT,PAL5H,10,0.8333,48,4.8333,5 x 5 wood pallet,28,30,140,Active,10
335,A3015KQ1,P,D923-45T,0,5,EA,5,PALLT,PAL5H,3,0.6,55,11.6,5 x 7 ORANGE,39,30,140,Active,3
335,A3014JQ1,P,D923-50B,0,8,EA,8,PALLT,PAL5H,6,0.75,0,0.75,5 x 5 wood pallet,37,5,73,Active,6
335,A3011JQ1,P,D947-01,48,16,CN,64,PALLT,PAL5H,60,0.9375,216,4.3125,5 x 5 wood pallet,694,552,2132,Active,60
335,A3013JL1,P,D947-01A,36,12,CN,48,PALLT,PAL5H,40,0.8333,192,4.8333,5 x 5 wood pallet,414,200,618,Active,40
335,A3013JF1,P,D947-55B,48,16,EA,64,PALLT,PAL5H,40,0.625,0,0.625,5 x 5 wood pallet,346,95,360,Active,40
335,A3013JT1,P,D947-55T,8,4,EA,12,PALLT,PAL5H,9,0.75,52,5.0833,5 x 7 ORANGE,146,96,360,Active,9
335,A3013LG1,P,D954-01,48,24,CN,72,PALLT,PAL5H,52,0.7222,140,2.6667,5 x 7 ORANGE,128,218,608,Active,52
335,A3014JW1,P,D954-02A,0,8,CN,8,PALLT,PAL5H,2,0.25,104,13.25,5 x 5 wood pallet,50,130,326,Active,2
335,A3012HN1,P,D974-00,21,21,EA,42,PALLT,PAL5H,34,0.8095,21,1.3095,5 x 7 ORANGE,308,141,673,Active,33
