Item,Open_CO_Qty,Total_Open_CO_Qty,Open_CO(%),Acc(%),Item_Class
D980-55B,95,,,,
2230214,40,,,,
2900316,11,,,,
2900334,41,,,,
2900317,27,,,,
2900349,13,,,,
2900348,25,,,,
2980464,40,,,,
3310414,6,,,,
T144-13,321,,,,
2610738,38,,,,
A3000031,68,,,,
A4000021,59,,,,
W5822-20,49,,,,
2610735,24,,,,
EB3660-245,13,,,,
H449-10,4,,,,
3100416,1,,,,
EB3660-113,31,,,,
EB3660-231,15,,,,
T188-13,131,,,,
A3000040,24,,,,
EB3660-291,58,,,,
M58931W2,10,,,,
EB3660-157,32,,,,
4100220,23,,,,
2610717,31,,,,
4100214,3,,,,
3100467,1,,,,
2160412,65,,,,
H220-06A,28,,,,
3550466,8,,,,
2680435,71,,,,
2940302,15,,,,
3550416,12,,,,
3550467,12,,,,
3550417,8,,,,
2850235,131,,,,
2940317,15,,,,
2680438,87,,,,
B784-92,1,,,,
D642-124,258,,,,
3120114,105,,,,
B784-56S,1,,,,
B784-97,1,,,,
T471-2,462,,,,
B784-58,1,,,,
2960335,117,,,,
1510423,144,,,,
EB3392-157,11,,,,
1510438,253,,,,
EB1011-291,40,,,,
EB3392-113,11,,,,
EB3392-291,17,,,,
EB1011-157,18,,,,
D798-60,46,,,,
D372-124,200,,,,
B980-97W1,34,,,,
B980-58W1,26,,,,
B980-46,26,,,,
B980-31,74,,,,
T221-13,60,,,,
B980-93W9,55,,,,
B980-36,50,,,,
B980-56W1,26,,,,
B776-56SW1,68,,,,
3990587,11,,,,
W738-78H,4,,,,
A4000037,30,,,,
B971-158W1,32,,,,
B971-93W9,21,,,,
B971-156W1,32,,,,
B971-197W1,51,,,,
B090-782W1,8,,,,
B633-78W1,87,,,,
B633-76W1,85,,,,
9220621,9,,,,
2110417,73,,,,
9220421,3,,,,
T446-1,72,,,,
T517-7,122,,,,
H633-02A,84,,,,
H633-70,80,,,,
H633-27,81,,,,
T411-13,314,,,,
W633-68,24,,,,
9280121,36,,,,
D596-60,5,,,,
W446-168,9,,,,
EB1864-112,10,,,,
9860688,27,,,,
9860686,38,,,,
9910115,3,,,,
D947-01,242,,,,
1170235,8,,,,
3100435,25,,,,
1670335,16,,,,
2910188,16,,,,
2810525,13,,,,
1202025,15,,,,
1670338,16,,,,
2820188,20,,,,
2780125,24,,,,
1202035,42,,,,
3190125,144,,,,
3100438,24,,,,
1570516,4,,,,
2820125,28,,,,
1202038,62,,,,
1170238,9,,,,
2720211,18,,,,
2820186,17,,,,
2720267,56,,,,
2070235,11,,,,
2680520,2,,,,
2680414,2,,,,
2680518,33,,,,
2680535,66,,,,
2680514,2,,,,
2680538,57,,,,
1510414,50,,,,
9510439,49,,,,
8550635,38,,,,
8550614,12,,,,
8550620,29,,,,
3290220,59,,,,
B719-46,42,,,,
B719-36,90,,,,
B719-31,116,,,,
B719-77,42,,,,
B719-78,54,,,,
B647-97W1,83,,,,
B647-57,24,,,,
D776-55T,421,,,,
D776-55B,421,,,,
A4000032,33,,,,
EB5514-291,21,,,,
EB5514-113,10,,,,
EB5514-245,9,,,,
EB5514-157,11,,,,
B751-58W1,57,,,,
B751-97W1,60,,,,
B751-93W9,183,,,,
B751-56W1,60,,,,
T459-3,62,,,,
3990425,20,,,,
9860486,33,,,,
B130-382,20,,,,
3380394,8,,,,
1202036,4,,,,
2950238,19,,,,
W446-124,13,,,,
T499-6,152,,,,
2680420,9,,,,
3450235,23,,,,
3090146,46,,,,
2950225,16,,,,
2060488,6,,,,
3090164,35,,,,
3190139,25,,,,
2060429,6,,,,
2950235,45,,,,
2060486,6,,,,
3090165,33,,,,
EW0200-268,12,,,,
B650-58,7,,,,
H675-17,25,,,,
W549-48,9,,,,
5840194,2,,,,
EB1011-113,16,,,,
U4370118,1,,,,
4040121,4,,,,
A3000319,1,,,,
U8300447,2,,,,
U6090081,5,,,,
8120208,4,,,,
EB2120-113,6,,,,
3520435,52,,,,
3520438,37,,,,
3950466,97,,,,
8721320,46,,,,
3950434,101,,,,
3950446,175,,,,
B633-76,44,,,,
B633-78,46,,,,
B742-99,118,,,,
B633-31,117,,,,
B742-76,102,,,,
2100139,9,,,,
T517-6,69,,,,
7050925,3,,,,
7050917,4,,,,
7050966,4,,,,
D776-00,291,,,,
3580214,8,,,,
3580235,81,,,,
3340414,6,,,,
3580223,39,,,,
3580238,94,,,,
8721339,5,,,,
8721310,10,,,,
T648-20,52,,,,
H275-10,2,,,,
H675-44,71,,,,
T372-1,59,,,,
B821-31,36,,,,
2590308,4,,,,
2590366,28,,,,
B476-92,36,,,,
B821-91,77,,,,
B476-99,4,,,,
B821-56,43,,,,
B821-58,43,,,,
2590346,16,,,,
2590377,28,,,,
B821-57,14,,,,
B476-66,16,,,,
B821-46,28,,,,
2590315,8,,,,
B821-36,35,,,,
B821-54,14,,,,
2590367,28,,,,
M8X132,11,,,,
M8X142,11,,,,
M9X942,6,,,,
M9X832,13,,,,
M9X842,7,,,,
M9X932,7,,,,
5120439,33,,,,
5360236,19,,,,
5120535,157,,,,
5120538,118,,,,
5360239,36,,,,
A3000135,29,,,,
A3000066,15,,,,
2780148,17,,,,
W5169-20,6,,,,
T446-3,21,,,,
2180229,40,,,,
B647-58W1,70,,,,
5200414,10,,,,
5200423,24,,,,
D731-01,472,,,,
T736-3,29,,,,
D731-60,22,,,,
T499-0,217,,,,
D546-35,30,,,,
T178-6,389,,,,
D546-60,27,,,,
T648-3,25,,,,
D731-35,64,,,,
T178-8,251,,,,
D546-01,182,,,,
D546-32,100,,,,
D382-325,81,,,,
T901-9,14,,,,
D194-01,196,,,,
D194-15,64,,,,
3290338,63,,,,
5020508,25,,,,
7450289,11,,,,
5020555,84,,,,
D394-113,149,,,,
3290335,23,,,,
5020516,37,,,,
5020556,63,,,,
5020577,98,,,,
5020534,92,,,,
5020546,87,,,,
4610506,22,,,,
4890238,45,,,,
4510306,24,,,,
5020517,59,,,,
A3000207,44,,,,
T029-13,98,,,,
B697-77W1,38,,,,
B756-54W1,33,,,,
B697-74W1,36,,,,
W562-48,23,,,,
B756-56W1,84,,,,
B756-58W1,84,,,,
B697-98W1,44,,,,
EW0267-268,56,,,,
T996-9,84,,,,
T996-3,164,,,,
4430125,16,,,,
2080112,25,,,,
4430225,8,,,,
4510206,22,,,,
