ITNBR,ITDSC,ITCLS,HOUSE,ONHAND,UnitPrice($USD),AMT($USD),PRODUCT_CATEGORY,PICKPUT,ITMCLSID,UNITSWIDE,UNITLAYERS,UNITSDEEP,SCOOPQTY,SCOOPWIDTH,SKIDSIZE,ITMCQTY,PALLET_QTY
6470525UN,ROCKER RECLINER/COVER/WALNUT,ZAMK,,,0.0,,UnKits,PURPO,,0,0,0,0,0,0,1,
648X535UN,LOVESEAT/COVER/STONE,ZACK,51.0,36.0,40.67,1464.12,UnKits,UPH,UPHCH,2,6,2,24,1,3,4,1.0
648X538UN,SOFA/COVER/STONE,ZACK,51.0,48.0,51.52,2472.96,UnKits,UPH,UPHCH,2,6,2,24,1,3,3,1.0
6480535UN,LOVESEAT/COVER/STONE,ZACK,,,42.14,,UnKits,PURPO,,0,0,0,0,0,0,4,
6480538UN,SOFA/COVER/STONE,ZACK,,,53.32,,UnKits,PURPO,,0,0,0,0,0,0,3,
6490208MRUN,OVERSIZED ACC OTT/COVER/STEEL,ZACK,,,5.738804012933912,,UnKits,PURPO,,0,0,0,0,0,0,12,
6490208UN,OVRSZ ACCENT OTTO/COVER/STEEL,ZACK,,,5.6,,UnKits,,,0,0,0,0,0,0,12,
6490216MRUN,LAF CORNER CHAISE/COVER/STEEL,ZACK,,,18.32708621029789,,UnKits,PURPO,,0,0,0,0,0,0,12,
6490216UN,LAF CORNER CHAISE/COVER/STEEL,ZACK,,,17.84,,UnKits,PURPO,,0,0,0,0,0,0,6,
6490217MRUN,RAF CORNER CHAISE/COVER/STEEL,ZACK,,,18.299467350562242,,UnKits,PURPO,,0,0,0,0,0,0,12,
6490217UN,RAF CORNER CHAISE/COVER/STEEL,ZACK,,,17.82,,UnKits,PURPO,,0,0,0,0,0,0,6,
6490234MRUN,ARMLESS LOVESEAT/COVER/STEEL,ZACK,,,17.09212862497534,,UnKits,PURPO,,0,0,0,0,0,0,12,
6490234UN,ARMLESS LOVESEAT/COVER/STEEL,ZACK,,,16.67,,UnKits,PURPO,,0,0,0,0,0,0,6,
6490266MRUN,LAF SOFA/COVER/STEEL,ZACK,,,31.5525744722825,,UnKits,PURPO,,0,0,0,0,0,0,10,
6490266UN,LAF SOFA/COVER/STEEL,ZACK,,,31.0,,UnKits,,,0,0,0,0,0,0,4,
6490267MRUN,RAF SOFA/COVER/STEEL,ZACK,,,31.56441112645492,,UnKits,PURPO,,0,0,0,0,0,0,10,
6490267UN,RAF SOFA/COVER/STEEL,ZACK,,,30.99,,UnKits,,,0,0,0,0,0,0,4,
6500418UN,PWR REC LOVE/CON/COVER/EARTH,ZAMK,,,53.68,,UnKits,PURPO,,0,0,0,0,0,0,3,
6500447UN,2SEAT PWR REC SOFA/COVER/EARTH,ZAMK,,,51.7,,UnKits,PURPO,,0,0,0,0,0,0,4,
6500482UN,WIDE SEAT PWR REC/COVER/EARTH,ZAMK,,,33.14,,UnKits,PURPO,,0,0,0,0,0,0,4,
6500518UN,PWR REC LOVE/CON/COVER/CHARC,ZAMK,,,54.42,,UnKits,PURPO,,0,0,0,0,0,0,3,
6500547UN,2SEAT PWR REC SOFA/COVER/CHARC,ZAMK,,,230.12579077234167,,UnKits,PURPO,,0,0,0,0,0,0,4,
6500582UN,WIDE SEAT PWR REC/COVER/CHARCO,ZAMK,,,35.38,,UnKits,PURPO,,0,0,0,0,0,0,4,
6510666UN,LAF SOFA/COVER/PARCHMENT,ZACK,,,53.63014170124561,,UnKits,PURPO,,0,0,0,0,0,0,4,
6510667UN,RAF SOFA/COVER/PARCHMENT,ZACK,,,53.63969535941093,,UnKits,PURPO,,0,0,0,0,0,0,4,
6510677UN,WEDGE/COVER/PARCHMENT,ZACK,,,34.01288753616177,,UnKits,PURPO,,0,0,0,0,0,0,4,
652X294UN,DBL REC LOVE W/CON/COVER/COFFE,ZAMK,,,35.862692889790885,,UnKits,PURPO,,0,0,0,0,0,0,4,
653X725UN,ROCKER RECLINER/COVER/SHADOW,ZAMK,51.0,1.0,33.2095586090578,33.2095586090578,UnKits,PURPO,,0,0,0,0,0,0,4,
653X825UN,ROCKER RECLINER/COVER/CARAMEL,ZAMK,,,33.208049864037484,,UnKits,PURPO,,0,0,0,0,0,0,4,
6530725UN,ROCKER RECLINER/COVER/SHADOW,ZAMK,,,32.71,,UnKits,PURPO,,0,0,0,0,0,0,4,
6530825UN,ROCKER RECLINER/COVER/CARAMEL,ZAMK,,,32.71,,UnKits,UPH,UPHCH,1,4,3,12,1,16,4,
